City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Cloudiness,Humidity,Wind Speed
0,0,Adrar,MR,2022-07-25 17:57:07,20.5022,-10.0711,102.54,94,19,20.96
1,1,Sola,VU,2022-07-25 17:57:07,-13.8833,167.55,80.06,10,77,11.03
2,2,Georgetown,MY,2022-07-25 17:54:33,5.4112,100.3354,80.53,20,96,5.01
3,3,Saint-Philippe,RE,2022-07-25 17:57:08,-21.3585,55.7679,65.79,48,81,10.74
4,4,Ushuaia,AR,2022-07-25 17:53:58,-54.8,-68.3,35.26,75,80,14.97
5,5,Rikitea,PF,2022-07-25 17:57:08,-23.1203,-134.9692,75.25,19,70,19.01
6,6,Bathsheba,BB,2022-07-25 17:57:09,13.2167,-59.5167,84.81,40,91,13.8
7,7,Ust-Nera,RU,2022-07-25 17:57:09,64.5667,143.2,59.77,95,59,3.62
8,8,Poum,NC,2022-07-25 17:57:09,-20.2333,164.0167,72.72,1,78,19.64
9,9,Bredasdorp,ZA,2022-07-25 17:57:10,-34.5322,20.0403,50.7,0,84,4.92
10,10,San Rafael,AR,2022-07-25 17:57:10,-34.6177,-68.3301,50.59,100,93,3.44
11,11,Hilo,US,2022-07-25 17:56:19,19.7297,-155.09,78.12,38,77,1.99
12,12,Chokurdakh,RU,2022-07-25 17:57:11,70.6333,147.9167,47.39,90,63,11.23
13,13,Hobart,AU,2022-07-25 17:57:05,-42.8794,147.3294,53.46,75,93,0.0
14,14,Tasiilaq,GL,2022-07-25 17:57:12,65.6145,-37.6368,40.28,96,84,2.19
15,15,Mahebourg,MU,2022-07-25 17:57:12,-20.4081,57.7,68.29,75,88,6.91
16,16,La Ronge,CA,2022-07-25 17:57:12,55.1001,-105.2842,68.22,75,64,8.05
17,17,Takestan,IR,2022-07-25 17:57:13,36.0696,49.6959,75.33,5,77,13.98
18,18,Punta Arenas,CL,2022-07-25 17:57:13,-53.15,-70.9167,39.31,0,65,11.5
19,19,Asau,RO,2022-07-25 17:57:14,46.4333,26.4,76.12,44,53,1.77
20,20,Yar-Sale,RU,2022-07-25 17:57:14,66.8333,70.8333,50.11,59,75,15.64
21,21,Khelyulya,RU,2022-07-25 17:57:15,61.7333,30.6833,62.92,90,84,3.94
22,22,Usvyaty,RU,2022-07-25 17:57:15,55.7456,30.7533,61.18,85,96,4.23
23,23,Tuatapere,NZ,2022-07-25 17:57:15,-46.1333,167.6833,44.67,100,91,10.92
24,24,Tete,MZ,2022-07-25 17:57:16,-16.1564,33.5867,78.89,20,36,14.0
25,25,Owando,CG,2022-07-25 17:57:16,-0.4819,15.8999,74.43,97,89,2.59
26,26,Busselton,AU,2022-07-25 17:57:17,-33.65,115.3333,62.35,45,73,21.97
27,27,Kuryk,KZ,2022-07-25 17:57:17,43.2,51.65,74.61,22,61,7.56
28,28,Longyearbyen,SJ,2022-07-25 17:57:17,78.2186,15.6401,48.04,75,81,17.27
29,29,Vaini,TO,2022-07-25 17:57:18,-21.2,-175.2,71.76,40,88,5.75
30,30,Srandakan,ID,2022-07-25 17:57:18,-7.9386,110.2506,70.34,98,81,4.18
31,31,Tilichiki,RU,2022-07-25 17:57:19,60.4667,166.1,50.0,73,81,1.54
32,32,Jamestown,US,2022-07-25 17:57:19,42.097,-79.2353,77.02,44,58,11.99
33,33,Ponta Do Sol,PT,2022-07-25 17:57:19,32.6667,-17.1,86.63,91,47,5.55
34,34,Cherskiy,RU,2022-07-25 17:57:20,68.75,161.3,44.42,5,59,8.01
35,35,Bluff,NZ,2022-07-25 17:57:20,-46.6,168.3333,44.8,100,86,25.48
36,36,Albany,US,2022-07-25 17:57:21,42.6001,-73.9662,84.63,99,72,12.68
37,37,Bambous Virieux,MU,2022-07-25 17:57:21,-20.3428,57.7575,68.25,75,88,6.91
38,38,Lorengau,PG,2022-07-25 17:57:22,-2.0226,147.2712,80.98,65,80,7.05
39,39,Tiksi,RU,2022-07-25 17:57:22,71.6872,128.8694,46.08,91,94,3.4
40,40,Arraial Do Cabo,BR,2022-07-25 17:57:22,-22.9661,-42.0278,82.36,0,69,21.85
41,41,Redcar,GB,2022-07-25 17:57:23,54.6166,-1.06,58.53,92,60,5.99
42,42,Balingasay,PH,2022-07-25 17:57:23,16.3573,119.8564,82.63,100,78,5.64
43,43,Barrow,US,2022-07-25 17:54:17,71.2906,-156.7887,37.42,100,93,24.16
44,44,Tuktoyaktuk,CA,2022-07-25 17:57:24,69.4541,-133.0374,48.2,75,81,11.5
45,45,Ilulissat,GL,2022-07-25 17:57:24,69.2167,-51.1,40.32,99,88,2.95
46,46,Ahipara,NZ,2022-07-25 17:57:24,-35.1667,173.1667,56.8,37,86,20.83
47,47,Hithadhoo,MV,2022-07-25 17:57:25,-0.6,73.0833,82.71,59,72,9.69
48,48,Kruisfontein,ZA,2022-07-25 17:57:25,-34.0033,24.7314,55.89,0,74,11.56
49,49,Ca Mau,VN,2022-07-25 17:57:26,9.1769,105.15,77.23,81,93,3.56
50,50,Praia,CV,2022-07-25 17:57:26,14.9215,-23.5087,82.94,75,74,11.5
51,51,Darnah,LY,2022-07-25 17:57:26,32.767,22.6367,80.78,0,72,14.92
52,52,Rocha,UY,2022-07-25 17:57:27,-34.4833,-54.3333,64.72,100,88,9.71
53,53,Esperance,AU,2022-07-25 17:57:27,-33.8667,121.9,51.66,0,62,16.13
54,54,Port Alfred,ZA,2022-07-25 17:57:27,-33.5906,26.891,52.18,0,83,13.94
55,55,Sur,OM,2022-07-25 17:57:28,22.5667,59.5289,87.03,100,68,7.49
56,56,Rudbar,AF,2022-07-25 17:57:28,30.15,62.6,86.22,100,55,11.52
57,57,Port Lincoln,AU,2022-07-25 17:57:28,-34.7333,135.8667,52.02,19,69,11.16
58,58,Carnarvon,AU,2022-07-25 17:57:29,-24.8667,113.6333,62.49,0,38,9.17
59,59,Katwijk,NL,2022-07-25 17:57:29,52.1942,4.4222,70.95,22,78,19.6
60,60,Avarua,CK,2022-07-25 17:57:30,-21.2078,-159.775,66.25,75,77,4.61
61,61,Dukat,RU,2022-07-25 17:57:30,62.55,155.55,57.0,99,55,3.6
62,62,Mar Del Plata,AR,2022-07-25 17:57:30,-38.0023,-57.5575,55.09,100,92,14.97
63,63,Saiha,IN,2022-07-25 17:57:31,22.4833,92.9667,70.16,100,98,1.99
64,64,San Andres,CO,2022-07-25 17:57:31,12.5847,-81.7006,86.02,40,70,6.91
65,65,Tongling,CN,2022-07-25 17:57:32,30.95,117.7833,79.68,52,83,4.12
66,66,Castro,BR,2022-07-25 17:56:44,-24.7911,-50.0119,75.38,57,41,3.62
67,67,Meulaboh,ID,2022-07-25 17:57:32,4.1363,96.1285,74.89,100,96,5.61
68,68,Choma,ZM,2022-07-25 17:57:32,-16.8065,26.9531,59.58,0,45,3.67
69,69,Vestmannaeyjar,IS,2022-07-25 17:57:33,63.4427,-20.2734,54.59,20,82,10.36
70,70,Ruidoso,US,2022-07-25 17:57:33,33.3317,-105.673,82.06,75,38,5.75
71,71,Kandrian,PG,2022-07-25 17:57:34,-6.2167,149.55,77.41,77,91,8.12
72,72,Hermanus,ZA,2022-07-25 17:57:34,-34.4187,19.2345,53.8,0,66,9.31
