City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Gat,IL,78.4,clear sky,31.61,34.7642,OlusHome
12,Rikitea,PF,75.61,broken clouds,-23.1203,-134.9692,People ThankYou
15,Kapaa,US,84.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
37,Sao Filipe,CV,78.33,overcast clouds,14.8961,-24.4956,Hotel Xaguate
43,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
45,Hilo,US,89.28,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
46,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
49,Acarau,BR,77.97,broken clouds,-2.8856,-40.12,castelo pizzaria
57,Nantucket,US,79.0,overcast clouds,41.2835,-70.0995,Jared Coffin House
61,Surt,LY,79.47,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
63,Praia Da Vitoria,PT,75.76,broken clouds,38.7333,-27.0667,Hotel Branco I
68,Faanui,PF,76.21,moderate rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
71,Les Cayes,HT,79.83,clear sky,18.2,-73.75,Villa Orphee
73,Kahului,US,82.98,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
76,Guerrero Negro,MX,75.6,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
77,Butaritari,KI,82.72,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
78,Atuona,PF,77.68,few clouds,-9.8,-139.0333,Villa Enata
79,Tezu,IN,75.22,overcast clouds,27.9167,96.1667,Circuit House
80,Carutapera,BR,77.34,overcast clouds,-1.195,-46.02,Lidera
82,Mayo,US,81.0,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
83,Itaituba,BR,87.96,few clouds,-4.2761,-55.9836,Hotel Campos
84,Korla,CN,79.59,few clouds,41.7597,86.1469,Gulisitan Hotel
85,Prudnik,PL,76.91,broken clouds,50.3212,17.5746,BIAŁA AKACJA Resort & Business
89,Hithadhoo,MV,82.42,few clouds,-0.6,73.0833,Scoop Guest House
90,Panaba,MX,83.82,broken clouds,21.2833,-88.2667,Hotel Don Fernando
93,Vanimo,PG,81.86,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
95,Itarema,BR,77.92,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
99,Marawi,PH,75.58,broken clouds,7.9986,124.2928,Derogongan Residence
100,Namatanai,PG,81.77,light rain,-3.6667,152.4333,Seagulls Inn Namatani
105,Kingsport,US,79.72,moderate rain,36.5484,-82.5618,MeadowView Conference Resort & Convention Center
108,Wenling,CN,83.3,scattered clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
109,Eureka,US,75.2,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
111,Victoria,HK,88.97,scattered clouds,22.2855,114.1577,Mini Central
113,Georgetown,MY,77.95,few clouds,5.4112,100.3354,Cititel Penang
116,Lahaina,US,83.44,scattered clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
119,Puerto Escondido,MX,82.35,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
121,Nouadhibou,MR,78.78,clear sky,20.931,-17.0347,El Medina
128,Maumere,ID,77.92,broken clouds,-8.6199,122.2111,Sylvia Hotel
131,Port Blair,IN,81.16,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
136,Broome,US,76.64,scattered clouds,42.2506,-75.833,Chenango Valley State Park
139,Hambantota,LK,78.17,overcast clouds,6.1241,81.1185,Bungalow 63
140,Kerema,PG,80.67,broken clouds,-7.9631,145.7785,Frena Lodge
141,Isangel,VU,77.11,overcast clouds,-19.55,169.2667,Tanna Lodge
142,Albox,ES,87.33,scattered clouds,37.3886,-2.1495,Steve Conroy Los Olivos
143,Smithers,CA,75.52,few clouds,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
146,Porto Novo,BJ,78.62,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
148,Dinghai,CN,81.52,scattered clouds,26.2847,119.7936,Shanhai Hotel
150,Kavaratti,IN,81.48,scattered clouds,10.5669,72.642,Green leaf
151,Yining,CN,87.3,few clouds,29.0361,114.5636,Xiushui Hotel
159,Kieta,PG,82.35,light rain,-6.2167,155.6333,Uruna Bay Retreat
166,Saint Anthony,US,76.91,scattered clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
168,Vila Do Maio,CV,79.59,overcast clouds,15.1333,-23.2167,Hotel Marilu
172,Zhanakorgan,KZ,83.12,few clouds,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
177,Marsa Matruh,EG,77.2,clear sky,31.3525,27.2453,Beau Site
178,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
179,Wewak,PG,82.18,scattered clouds,-3.5534,143.6268,In Wewak Boutique Hotel
182,Hasaki,JP,79.2,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
184,Kavieng,PG,82.9,light rain,-2.5744,150.7967,Nusa Island Retreat
188,Buluang,PH,83.16,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
190,Zhuhai,CN,89.85,few clouds,22.2769,113.5678,珠海粤财假日酒店
191,Tommot,RU,79.34,broken clouds,58.9564,126.2925,Gostinitsa Tommot
192,Saint-Georges,GD,82.08,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
193,Kloulklubed,PW,83.05,broken clouds,7.0419,134.2556,Storyboard Beach Resort
194,Puerto Del Rosario,ES,80.35,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
196,Hamilton,US,79.09,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
198,Catuday,PH,81.73,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
204,Manacapuru,BR,79.65,scattered clouds,-3.2997,-60.6206,Novo Hotel
206,Phayao,TH,75.11,broken clouds,19.25,100.25,chuthagarden
209,Kushima,JP,85.12,clear sky,31.4583,131.2333,Hanaoka
210,Alyangula,AU,75.56,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
