City_ID,City,Country,Date,Lat,Lng,Max Temp,Cloudiness,Humidity,Wind Speed,Current Description
0,Ostersund,SE,2022-07-25 23:57:24,63.1792,14.6357,57.65,20,100,9.22,few clouds
1,Tiksi,RU,2022-07-25 23:57:25,71.6872,128.8694,50.99,48,81,4.65,scattered clouds
2,Castro,BR,2022-07-25 23:57:26,-24.7911,-50.0119,59.7,94,72,2.13,overcast clouds
3,Nuuk,GL,2022-07-25 23:57:26,64.1835,-51.7216,43.88,82,87,5.01,broken clouds
4,Cidreira,BR,2022-07-25 23:57:27,-30.1811,-50.2056,61.09,16,95,5.91,few clouds
5,Srednekolymsk,RU,2022-07-25 23:57:28,67.45,153.6833,60.64,38,37,12.35,scattered clouds
6,Iqaluit,CA,2022-07-25 23:57:28,63.7506,-68.5145,47.93,20,81,10.36,few clouds
7,Gat,IL,2022-07-25 23:57:29,31.61,34.7642,78.4,0,71,1.9,clear sky
8,Mataura,NZ,2022-07-25 23:57:29,-46.1927,168.8643,46.47,100,96,10.78,overcast clouds
9,Port Hardy,CA,2022-07-25 23:57:30,50.6996,-127.4199,71.78,20,68,12.66,fog
10,Domoni,KM,2022-07-25 23:57:30,-12.2569,44.5319,74.53,7,74,10.67,clear sky
11,Bluff,NZ,2022-07-25 23:57:31,-46.6,168.3333,46.8,100,90,26.84,light rain
12,Rikitea,PF,2022-07-25 23:57:31,-23.1203,-134.9692,75.61,72,73,14.16,broken clouds
13,Bambanglipuro,ID,2022-07-25 23:57:32,-7.95,110.2833,71.28,91,83,3.4,overcast clouds
14,Khvastovichi,RU,2022-07-25 23:57:32,53.4694,35.0941,57.7,60,98,4.68,broken clouds
15,Kapaa,US,2022-07-25 23:57:33,22.0752,-159.319,84.18,8,66,5.01,clear sky
16,East London,ZA,2022-07-25 23:57:14,-33.0153,27.9116,55.44,0,70,12.08,clear sky
17,Dikson,RU,2022-07-25 23:57:33,73.5069,80.5464,44.94,99,91,23.78,overcast clouds
18,Hukuntsi,BW,2022-07-25 23:57:34,-24.0,21.75,61.34,36,36,13.65,scattered clouds
19,Vardo,NO,2022-07-25 23:57:34,70.3705,31.1107,53.58,100,87,10.36,overcast clouds
20,Jamestown,US,2022-07-25 23:57:34,42.097,-79.2353,69.06,23,62,1.99,few clouds
21,Bredasdorp,ZA,2022-07-25 23:57:35,-34.5322,20.0403,46.9,0,67,4.56,clear sky
22,Tambacounda,SN,2022-07-25 23:57:35,13.7539,-13.7586,78.85,20,94,4.61,few clouds
23,Altrincham,GB,2022-07-25 23:57:35,53.3875,-2.3485,58.41,100,90,3.44,overcast clouds
24,Uyskoye,RU,2022-07-25 23:57:36,54.3775,60.0047,58.69,54,84,2.59,broken clouds
25,Torbay,CA,2022-07-25 23:57:36,47.6666,-52.7314,69.76,100,92,21.85,overcast clouds
26,Port Alfred,ZA,2022-07-25 23:57:37,-33.5906,26.891,52.18,0,82,1.01,clear sky
27,Maneromango,TZ,2022-07-25 23:57:37,-7.1988,38.7848,63.57,40,96,4.14,scattered clouds
28,Jumla,NP,2022-07-25 23:57:37,29.2747,82.1838,59.85,92,97,1.81,overcast clouds
