,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,albany,US,2022-07-21 23:30:46,42.6001,-73.9662,90.01,48,17,8.99
1,vostok,RU,2022-07-21 23:30:25,46.4856,135.8833,62.08,97,99,1.39
2,ushuaia,AR,2022-07-21 23:30:50,-54.8,-68.3,31.66,86,75,28.77
3,tiznit,MA,2022-07-21 23:30:50,29.5833,-9.5,88.2,21,22,3.09
4,te anau,NZ,2022-07-21 23:28:15,-45.4167,167.7167,39.22,91,67,1.21
5,lagos,NG,2022-07-21 23:30:08,6.5833,3.75,75.49,84,98,5.44
6,butaritari,KI,2022-07-21 23:29:34,3.0707,172.7902,81.48,73,57,5.41
7,lompoc,US,2022-07-21 23:30:52,34.6391,-120.4579,88.02,72,0,17.0
8,pudozh,RU,2022-07-21 23:25:52,61.8099,36.5345,63.23,79,60,3.53
9,twentynine palms,US,2022-07-21 23:30:52,34.1356,-116.0542,110.86,13,71,10.27
10,mataura,NZ,2022-07-21 23:28:40,-46.1927,168.8643,43.48,94,100,0.98
11,saskylakh,RU,2022-07-21 23:29:50,71.9167,114.0833,50.92,65,100,7.29
12,wallaceburg,CA,2022-07-21 23:30:53,42.593,-82.3885,89.11,50,2,13.67
13,nyurba,RU,2022-07-21 23:30:53,63.2842,118.3319,58.95,83,100,5.19
14,dikson,RU,2022-07-21 23:27:58,73.5069,80.5464,43.18,93,100,15.77
15,east london,ZA,2022-07-21 23:29:08,-33.0153,27.9116,58.82,77,2,7.54
16,manado,ID,2022-07-21 23:30:54,1.487,124.8455,79.57,83,20,3.44
17,marfino,RU,2022-07-21 23:30:55,55.7028,37.3822,62.94,76,0,8.95
18,yellowknife,CA,2022-07-21 23:28:19,62.456,-114.3525,68.52,40,75,6.91
19,cape town,ZA,2022-07-21 23:30:56,-33.9258,18.4232,58.37,82,20,1.14
20,avarua,CK,2022-07-21 23:29:13,-21.2078,-159.775,75.25,73,75,16.11
21,acarau,BR,2022-07-21 23:26:49,-2.8856,-40.12,78.82,78,49,13.78
22,mecca,SA,2022-07-21 23:30:57,21.4267,39.8261,85.08,56,50,3.04
23,punta arenas,CL,2022-07-21 23:30:57,-53.15,-70.9167,32.11,93,20,20.71
24,zaozerne,UA,2022-07-21 23:30:58,45.1582,33.2787,71.19,71,0,16.58
25,busselton,AU,2022-07-21 23:30:58,-33.65,115.3333,58.77,80,76,8.72
26,moba,CN,2022-07-21 23:30:59,33.2288,105.0179,56.71,86,100,5.64
27,dong hoi,VN,2022-07-21 23:30:59,17.4833,106.6,79.14,79,84,2.68
28,mauriti,BR,2022-07-21 23:31:00,-7.3892,-38.7744,72.21,71,94,8.32
29,caarapo,BR,2022-07-21 23:31:00,-22.6342,-54.8222,71.35,36,22,5.32
30,honiara,SB,2022-07-21 23:28:44,-9.4333,159.95,85.23,62,66,3.53
31,wanning,CN,2022-07-21 23:31:01,18.8003,110.3967,81.7,84,17,1.19
32,corinto,GR,2022-07-21 23:31:02,37.9407,22.9573,75.88,40,0,2.71
33,kostyantynivka,UA,2022-07-21 23:31:03,48.5277,37.7069,61.38,82,89,7.56
34,jamestown,US,2022-07-21 23:31:03,42.097,-79.2353,80.06,63,40,10.36
35,hithadhoo,MV,2022-07-21 23:27:45,-0.6,73.0833,79.95,75,100,8.03
36,srednekolymsk,RU,2022-07-21 23:31:04,67.45,153.6833,55.72,38,0,7.54
37,mehamn,NO,2022-07-21 23:29:21,71.0357,27.8492,57.11,100,100,0.0
38,vanderhoof,CA,2022-07-21 23:31:05,54.0166,-124.0198,78.53,25,11,9.93
39,faanui,PF,2022-07-21 23:31:05,-16.4833,-151.75,77.27,73,13,10.87
40,hermanus,ZA,2022-07-21 23:31:06,-34.4187,19.2345,44.8,74,100,4.94
41,kapaa,US,2022-07-21 23:27:43,22.0752,-159.319,85.98,68,20,16.11
42,harlingen,US,2022-07-21 23:26:32,26.1906,-97.6961,93.16,42,0,21.85
43,vaini,TO,2022-07-21 23:31:07,-21.2,-175.2,78.96,83,40,5.75
44,aklavik,CA,2022-07-21 23:29:40,68.2191,-135.0107,68.0,64,40,8.05
45,mana,GF,2022-07-21 23:31:09,5.6592,-53.7767,77.99,86,25,8.19
46,barrow,US,2022-07-21 23:29:49,71.2906,-156.7887,46.42,76,20,26.46
47,cherskiy,RU,2022-07-21 23:32:06,68.75,161.3,49.17,41,98,12.33
48,rikitea,PF,2022-07-21 23:32:10,-23.1203,-134.9692,74.48,80,95,22.79
49,ranong,TH,2022-07-21 23:32:11,9.9658,98.6348,75.13,87,100,5.03
50,atuona,PF,2022-07-21 23:32:12,-9.8,-139.0333,77.36,72,13,15.21
51,tuatapere,NZ,2022-07-21 23:32:12,-46.1333,167.6833,44.96,91,99,2.73
52,esperance,AU,2022-07-21 23:32:13,-33.8667,121.9,53.11,81,51,17.67
53,ocos,GT,2022-07-21 23:32:13,14.5094,-92.1933,77.18,71,100,6.6
54,saint anthony,US,2022-07-21 23:32:14,45.0205,-93.218,86.95,36,0,14.97
55,upernavik,GL,2022-07-21 23:32:14,72.7868,-56.1549,45.37,96,100,15.08
56,mendoza,AR,2022-07-21 23:30:02,-32.8908,-68.8272,54.93,50,0,2.3
57,san cristobal,VE,2022-07-21 23:29:52,7.7669,-72.225,75.38,84,89,4.34
